prompt_id,prompt_family,repetition_index,token_count,latency_ms,decision,g_score,g_final,v_score,delta_g,stability_score,coherence_score,semantic_risk,factual_hallucination_score,semantic_instability_score,information_density,error,baromètre,modèle
NM-WEEKLY-Q01,reasoning_simple,85,348.0,25792.0,ALLOW,0.6,0.969231,1.0,0.0,0.923077,1.0,0.0,0.0,0.0,0.5869,,baromètre1,anthropic_claude-sonnet-4-5-20250929
NM-WEEKLY-Q01,reasoning_simple,86,348.0,25503.0,ALLOW,0.6,0.969231,1.0,0.0,0.923077,1.0,0.0,0.0,0.0,0.5863,,baromètre1,anthropic_claude-sonnet-4-5-20250929
NM-WEEKLY-Q01,reasoning_simple,87,359.0,25278.0,ALLOW,0.6,0.969231,1.0,0.0,0.923077,1.0,0.0,0.0,0.0,0.594,,baromètre1,anthropic_claude-sonnet-4-5-20250929
NM-WEEKLY-Q01,reasoning_simple,88,345.0,25218.0,ALLOW,0.6,0.969231,1.0,0.0,0.923077,1.0,0.0,0.0,0.0,0.5843,,baromètre1,anthropic_claude-sonnet-4-5-20250929
NM-WEEKLY-Q01,reasoning_simple,89,356.0,25823.0,ALLOW,0.6,0.969231,1.0,0.0,0.923077,1.0,0.0,0.0,0.0,0.5904,,baromètre1,anthropic_claude-sonnet-4-5-20250929
NM-WEEKLY-Q01,reasoning_simple,90,363.0,26444.0,ALLOW,0.6,0.969231,1.0,0.0,0.923077,1.0,0.0,0.0,0.0,0.5995,,baromètre1,anthropic_claude-sonnet-4-5-20250929
NM-WEEKLY-Q01,reasoning_simple,91,382.0,25607.0,ALLOW,0.6,0.969231,1.0,0.0,0.923077,1.0,0.0,0.0,0.0,0.595,,baromètre1,anthropic_claude-sonnet-4-5-20250929
NM-WEEKLY-Q01,reasoning_simple,92,399.0,25929.0,ALLOW,0.6,0.969231,1.0,0.0,0.923077,1.0,0.0,0.0,0.0,0.5365,,baromètre1,anthropic_claude-sonnet-4-5-20250929
NM-WEEKLY-Q01,reasoning_simple,93,367.0,25450.0,ALLOW,0.6,0.969231,1.0,0.0,0.923077,1.0,0.0,0.0,0.0,0.5893,,baromètre1,anthropic_claude-sonnet-4-5-20250929
NM-WEEKLY-Q01,reasoning_simple,94,355.0,25296.0,ALLOW,0.6,0.969231,1.0,0.0,0.923077,1.0,0.0,0.0,0.0,0.5724,,baromètre1,anthropic_claude-sonnet-4-5-20250929
NM-WEEKLY-Q01,reasoning_simple,95,366.0,25826.0,ALLOW,0.6,0.969231,1.0,0.0,0.923077,1.0,0.0,0.0,0.0,0.5732,,baromètre1,anthropic_claude-sonnet-4-5-20250929
NM-WEEKLY-Q01,reasoning_simple,96,361.0,25422.0,ALLOW,0.6,0.969231,1.0,0.0,0.923077,1.0,0.0,0.0,0.0,0.581,,baromètre1,anthropic_claude-sonnet-4-5-20250929
NM-WEEKLY-Q01,reasoning_simple,97,361.0,25322.0,ALLOW,0.6,0.969231,1.0,0.0,0.923077,1.0,0.0,0.0,0.0,0.5698,,baromètre1,anthropic_claude-sonnet-4-5-20250929
NM-WEEKLY-Q01,reasoning_simple,98,379.0,25332.0,ALLOW,0.6,0.969231,1.0,0.0,0.923077,1.0,0.0,0.0,0.0,0.571,,baromètre1,anthropic_claude-sonnet-4-5-20250929
NM-WEEKLY-Q01,reasoning_simple,99,350.0,25498.0,ALLOW,0.6,0.969231,1.0,0.0,0.923077,1.0,0.0,0.0,0.0,0.5763,,baromètre1,anthropic_claude-sonnet-4-5-20250929
NM-WEEKLY-Q01,reasoning_simple,100,359.0,25481.0,ALLOW,0.6,0.969231,1.0,0.0,0.923077,1.0,0.0,0.0,0.0,0.5799,,baromètre1,anthropic_claude-sonnet-4-5-20250929
NM-WEEKLY-Q02,factual_stable,1,355.0,26588.0,ALLOW,0.6,0.969231,1.0,0.0,0.923077,1.0,0.0,0.0,0.0,0.6184,,baromètre1,anthropic_claude-sonnet-4-5-20250929
NM-WEEKLY-Q02,factual_stable,2,338.0,26077.0,ALLOW,0.6,0.969231,1.0,0.0,0.923077,1.0,0.0,0.0,0.0,0.649,,baromètre1,anthropic_claude-sonnet-4-5-20250929
NM-WEEKLY-Q02,factual_stable,3,349.0,26822.0,ALLOW,0.6,0.969231,1.0,0.0,0.923077,1.0,0.0,0.0,0.0,0.6837,,baromètre1,anthropic_claude-sonnet-4-5-20250929
NM-WEEKLY-Q02,factual_stable,4,353.0,26143.0,ALLOW,0.6,0.969231,1.0,0.0,0.923077,1.0,0.0,0.0,0.0,0.6432,,baromètre1,anthropic_claude-sonnet-4-5-20250929
NM-WEEKLY-Q02,factual_stable,5,359.0,26285.0,ALLOW,0.6,0.969231,1.0,0.0,0.923077,1.0,0.0,0.0,0.0,0.6257,,baromètre1,anthropic_claude-sonnet-4-5-20250929
NM-WEEKLY-Q02,factual_stable,6,363.0,31708.0,ALLOW,0.6,0.969231,1.0,0.0,0.923077,1.0,0.0,0.0,0.0,0.6579,,baromètre1,anthropic_claude-sonnet-4-5-20250929
NM-WEEKLY-Q02,factual_stable,7,351.0,27022.0,ALLOW,0.6,0.969231,1.0,0.0,0.923077,1.0,0.0,0.0,0.0,0.668,,baromètre1,anthropic_claude-sonnet-4-5-20250929
NM-WEEKLY-Q02,factual_stable,8,338.0,27112.0,ALLOW,0.6,0.969231,1.0,0.0,0.923077,1.0,0.0,0.0,0.0,0.5986,,baromètre1,anthropic_claude-sonnet-4-5-20250929
NM-WEEKLY-Q02,factual_stable,9,350.0,27109.0,ALLOW,0.6,0.969231,1.0,0.0,0.923077,1.0,0.0,0.0,0.0,0.6716,,baromètre1,anthropic_claude-sonnet-4-5-20250929
NM-WEEKLY-Q02,factual_stable,10,373.0,27888.0,ALLOW,0.6,0.969231,1.0,0.0,0.923077,1.0,0.0,0.0,0.0,0.6557,,baromètre1,anthropic_claude-sonnet-4-5-20250929
NM-WEEKLY-Q02,factual_stable,11,358.0,26729.0,ALLOW,0.6,0.969231,1.0,0.0,0.923077,1.0,0.0,0.0,0.0,0.6387,,baromètre1,anthropic_claude-sonnet-4-5-20250929
NM-WEEKLY-Q02,factual_stable,12,351.0,26477.0,ALLOW,0.6,0.969231,1.0,0.0,0.923077,1.0,0.0,0.0,0.0,0.6309,,baromètre1,anthropic_claude-sonnet-4-5-20250929
NM-WEEKLY-Q02,factual_stable,13,343.0,26640.0,ALLOW,0.6,0.969231,1.0,0.0,0.923077,1.0,0.0,0.0,0.0,0.6948,,baromètre1,anthropic_claude-sonnet-4-5-20250929
NM-WEEKLY-Q02,factual_stable,14,356.0,30298.0,ALLOW,0.6,0.969231,1.0,0.0,0.923077,1.0,0.0,0.0,0.0,0.685,,baromètre1,anthropic_claude-sonnet-4-5-20250929
NM-WEEKLY-Q02,factual_stable,15,355.0,27070.0,ALLOW,0.6,0.969231,1.0,0.0,0.923077,1.0,0.0,0.0,0.0,0.6579,,baromètre1,anthropic_claude-sonnet-4-5-20250929
NM-WEEKLY-Q02,factual_stable,16,351.0,26525.0,ALLOW,0.6,0.969231,1.0,0.02,0.923077,1.0,0.0,0.0,0.0,0.6541,,baromètre1,anthropic_claude-sonnet-4-5-20250929
NM-WEEKLY-Q02,factual_stable,17,339.0,26498.0,ALLOW,0.6,0.969231,1.0,0.0,0.923077,1.0,0.0,0.0,0.0,0.682,,baromètre1,anthropic_claude-sonnet-4-5-20250929
NM-WEEKLY-Q02,factual_stable,18,347.0,26809.0,ALLOW,0.6,0.969231,1.0,0.0,0.923077,1.0,0.0,0.0,0.0,0.659,,baromètre1,anthropic_claude-sonnet-4-5-20250929
NM-WEEKLY-Q02,factual_stable,19,352.0,26820.0,ALLOW,0.6,0.969231,1.0,0.0,0.923077,1.0,0.0,0.0,0.0,0.6431,,baromètre1,anthropic_claude-sonnet-4-5-20250929
NM-WEEKLY-Q02,factual_stable,20,336.0,29381.0,ALLOW,0.6,0.969231,1.0,0.0,0.923077,1.0,0.0,0.0,0.0,0.6723,,baromètre1,anthropic_claude-sonnet-4-5-20250929
NM-WEEKLY-Q02,factual_stable,21,361.0,26959.0,ALLOW,0.6,0.969231,1.0,0.0,0.923077,1.0,0.0,0.0,0.0,0.6861,,baromètre1,anthropic_claude-sonnet-4-5-20250929
NM-WEEKLY-Q02,factual_stable,22,358.0,27210.0,ALLOW,0.6,0.969231,1.0,0.0,0.923077,1.0,0.0,0.0,0.0,0.642,,baromètre1,anthropic_claude-sonnet-4-5-20250929
NM-WEEKLY-Q02,factual_stable,23,335.0,27335.0,ALLOW,0.6,0.969231,1.0,0.0,0.923077,1.0,0.0,0.0,0.0,0.6555,,baromètre1,anthropic_claude-sonnet-4-5-20250929
